open,high,low,close,volume,Name,EMA14,EMA20,EMA50,EMA100,EMA200,cross,cross_14,cross_20,cross_50,cross_100,cross_200,prev_cross,prev_cross_14,prev_cross_20,prev_cross_50,prev_cross_100,prev_cross_200
73.36,73.92,72.55,73.74,3977051,ACN,74.22091507720681,74.75012426387634,76.52250029724543,76.89853547906466,76.16786756730211,0,0,0,0,0,0,0,0,0,0,0,0
73.69,74.83,73.47,73.81,3839580,ACN,74.16612640024591,74.66058861969765,76.41612773656914,76.83737636066735,76.14440619847323,0,0,0,0,0,0,0,0,0,0,0,0
74.21,74.97,73.75,74.85,2972138,ACN,74.2573095468798,74.67862779877407,76.35471096258604,76.7980223733274,76.13152653480684,1,1,1,0,0,0,0,0,0,0,0,0
74.34,74.645,74.0,74.59,4015236,ACN,74.30166827396249,74.67018705603368,76.28550661111208,76.75429915801398,76.1161879623212,0,0,-1,0,0,0,1,1,1,0,0,0
74.39,74.78,74.1,74.23,2556028,ACN,74.29211250410083,74.62826447926858,76.20489850871553,76.7043130360731,76.09741992289513,-1,-1,0,0,0,0,0,0,-1,0,0,0
74.01,74.5,73.19,73.25,3261554,ACN,74.15316417022072,74.49700119552872,76.08902013582473,76.63591079773502,76.06908738634891,0,0,0,0,0,0,-1,-1,0,0,0,0
73.07,73.4,72.57,73.0,2584245,ACN,73.99940894752463,74.35442965309741,75.96788209128258,76.5639125641165,76.03854920340018,0,0,0,0,0,0,0,0,0,0,0,0
72.81,73.6,72.62,72.98,3151647,ACN,73.86348775452134,74.22353159089766,75.85071024456562,76.49294399849043,76.00811587799322,0,0,0,0,0,0,0,0,0,0,0,0
73.03,73.905,73.03,73.53,3196274,ACN,73.81902272058517,74.15748096319312,75.7597019996807,76.43427184010447,75.98345800856046,0,0,0,0,0,0,0,0,0,0,0,0
72.99,73.7,72.58,72.79,2944287,ACN,73.68181969117381,74.02724468098425,75.64324309773245,76.36210804129053,75.95168230698275,0,0,0,0,0,0,0,0,0,0,0,0
73.0,73.18,72.61,72.88,2769528,ACN,73.57491039901731,73.91798328279528,75.53488062331158,76.29315540680953,75.9211183039282,0,0,0,0,0,0,0,0,0,0,0,0
72.71,72.87,71.39,71.5,4341186,ACN,73.29825567914834,73.6876991606243,75.37665001063269,76.19824143835785,75.87712707702345,0,0,0,0,0,0,0,0,0,0,0,0
70.67,71.96,70.5,71.53,3651335,ACN,73.0624882552619,73.4822040024696,75.22580099060788,76.10580101383592,75.83387208123217,0,0,0,0,0,0,0,0,0,0,0,0
71.37,71.87,71.17,71.65,3396313,ACN,72.87415648789366,73.30770838318679,75.08557350078013,76.01756733039362,75.79224151325971,0,0,0,0,0,0,0,0,0,0,0,0
71.63,72.37,71.4,71.67,3138371,ACN,72.71360228950783,73.15173615621661,74.95162944192602,75.9314768882076,75.75122418476957,0,0,0,0,0,0,0,0,0,0,0,0
71.68,72.65,71.4,72.16,3080697,ACN,72.63978865090678,73.0572850937198,74.84215377753677,75.85679417755001,75.71549061079176,0,0,0,0,0,0,0,0,0,0,0,0
72.12,73.265,71.98,72.81,3539838,ACN,72.66248349745254,73.03373413241314,74.76246147253534,75.79646161957872,75.68658025645553,1,1,0,0,0,0,0,0,0,0,0,0
72.84,74.5,72.79,74.1,3467201,ACN,72.85415236445887,73.1352832626595,74.73648259125945,75.76286832018113,75.6707933882321,0,0,1,0,0,0,1,1,0,0,0,0
74.54,74.6499,73.66,74.01,2837171,ACN,73.00826538253102,73.2185896185967,74.70799307787672,75.72815805641517,75.65426808088651,0,0,0,0,0,0,0,0,1,0,0,0
73.88,74.56,73.715,73.73,2011865,ACN,73.10449666486022,73.26729536920654,74.66964040815607,75.68859057014951,75.63512113480805,0,0,0,0,0,0,0,0,0,0,0,0
72.92,73.23,72.109,72.24,2836739,ACN,72.98923044287886,73.16945771499638,74.57436039214994,75.62030164796833,75.60133883495921,-1,-1,-1,0,0,0,0,0,0,0,0,0
72.35,72.77,72.0,72.45,2002760,ACN,72.91733305049502,73.10093793261578,74.4910521414774,75.5575233975135,75.56998222963624,0,0,0,0,0,0,-1,-1,-1,0,0,0
72.32,73.22,72.14,72.72,1828073,ACN,72.89102197709569,73.06465812950952,74.42159911632143,75.50133481538452,75.54162419750055,0,0,0,0,0,0,0,0,0,0,0,0
72.77,72.8675,71.77,72.25,2709871,ACN,72.8055523801496,72.98707164098481,74.33643836666177,75.43695194775314,75.50887171792344,0,0,0,0,0,0,0,0,0,0,0,0
72.72,73.535,72.67,73.08,3186029,ACN,72.84214539612967,72.99592196089101,74.2871662738515,75.39027963195605,75.48470384013316,1,1,1,0,0,0,0,0,0,0,0,0
